name,longitude,latitude
Regents Park,-0.145344,51.523811
Richmond,-0.301739,51.463233
Rickmansworth,-0.473685,51.640323
Riddlesdown,-0.099494,51.332675
Roding Valley,0.044026,51.616956
Romford,0.183055,51.574642
Rotherhithe,-0.052966,51.501595
Royal Albert,0.045177,51.508494
Royal Oak,-0.188824,51.518294
Royal Victoria,0.017965,51.509055
Ruislip,-0.421235,51.572162
Ruislip Gardens,-0.409294,51.55996
Ruislip Manor,-0.412849,51.573452
Russell Square,-0.12459,51.523013
Sanderstead,-0.093709,51.348246
Sandilands,-0.078027,51.375022
Selhurst,-0.089899,51.392186
Seven Kings,0.09632,51.563993
Seven Sisters,-0.072467,51.583362
Shadwell,-0.056919,51.5113
Shenfield,0.329952,51.630873
Shepherds Bush,-0.218519,51.504532
Shepherds Bush Market,-0.2274,51.505881
Shoreditch High Street,-0.077087,51.523467
Shortlands,0.002768,51.405602
Sidcup,0.103315,51.434398
Silver Street,-0.07259,51.615242
Slade Green,0.190518,51.467748
Sloane Square,-0.156489,51.49236
Snaresbrook,0.021464,51.580891
South Acton,-0.270215,51.499686
South Bermondsey,-0.054755,51.487677
South Croydon,-0.092517,51.36275
South Ealing,-0.30704,51.501644
South Greenford,-0.336737,51.534028
South Hampstead,-0.178371,51.541477
South Harrow,-0.351894,51.56468
South Kensington,-0.173923,51.494071
South Kenton,-0.308143,51.571044
South Merton,-0.20555,51.403241
South Quay,-0.018461,51.500864
South Ruislip,-0.399116,51.55689
South Tottenham,-0.071856,51.580403
South Wimbledon,-0.191975,51.415361
South Woodford,0.027943,51.591553
Southall,-0.378711,51.505957
Southbury,-0.052983,51.648434
Southfields,-0.206609,51.444883
Southgate,-0.12777,51.632376
Southwark,-0.105795,51.503854
St Helier,-0.199015,51.389912
St James Street,-0.032805,51.580609
St Johns,-0.023241,51.468975
St Margarets,-0.321324,51.455206
St Mary Cray,0.107218,51.394759
St Pancras,-0.125506,51.530554
St. James's Park,-0.133879,51.49961
St. Johns Wood,-0.174065,51.534854
St. Pauls,-0.097571,51.514835
Stamford Brook,-0.245246,51.49445
Stamford Hill,-0.076668,51.574448
Stanmore,-0.303099,51.619673
Star Lane,0.004191,51.520604
Stepney Green,-0.047383,51.521996
Stockwell,-0.122846,51.472159
Stoke Newington,-0.072335,51.564638
Stonebridge Park,-0.2754,51.543987
Stoneleigh,-0.24871,51.363364
Stratford,-0.003752,51.541693
Stratford High Street,-0.00108,51.538149
Stratford International,-0.008778,51.544809
Strawberry Hill,-0.339618,51.439748
Streatham,-0.132325,51.425846
Streatham Common,-0.135726,51.418985
Streatham Hill,-0.127681,51.43846
Sudbury and Harrow Road,-0.315926,51.554494
Sudbury Hill,-0.336392,51.55734
Sudbury Hill Harrow,-0.335447,51.558342
Sudbury Town,-0.316343,51.551397
Sundridge Park,0.020365,51.413394
Surbiton,-0.304385,51.3926
Surrey Quays,-0.04753,51.493267
Sutton,-0.191302,51.359506
Sutton Common,-0.19692,51.375555
Swiss Cottage,-0.175627,51.543035
Sydenham,-0.055089,51.427341
Sydenham Hill,-0.08023,51.432576
Syon Lane,-0.326495,51.481475
Tadworth,-0.236008,51.291628
Tattenham Corner,-0.242566,51.309181
Teddington,-0.332705,51.424497
Temple,-0.113726,51.511041
Thames Ditton,-0.338293,51.388616
Theobalds Grove,-0.034748,51.692373
Therapia Lane,-0.129017,51.385686
Theydon Bois,0.102891,51.672552
Thornton Heath,-0.100433,51.398481
Tolworth,-0.27962,51.376843
Tooting,-0.161002,51.419897
Tooting Bec,-0.1597,51.435838
Tooting Broadway,-0.168685,51.427049
Tottenham Court Road,-0.13111,51.516211
Tottenham Hale,-0.060188,51.587998
Totteridge and Whetstone,-0.179354,51.630247
Tower Gateway,-0.07441,51.510393
Tower Hill,-0.076701,51.510394
Tufnell Park,-0.137742,51.556441
Tulse Hill,-0.105123,51.439797
Turkey Street,-0.04723,51.672654
Turnham Green,-0.254525,51.495182
Turnpike Lane,-0.102805,51.590358
Twickenham,-0.32886,51.450251
Upminster,0.251401,51.558763
Upminster Bridge,0.234542,51.557719
Upney,0.101532,51.538406
Upper Holloway,-0.129109,51.563623
Upper Warlingham,-0.077482,51.308772
Upton Park,0.034542,51.536628
Uxbridge,-0.477102,51.546455
Vauxhall,-0.12383,51.485736
Victoria,-0.143921,51.496424
Waddon,-0.117394,51.367379
Waddon Marsh,-0.117987,51.377083
Wallington,-0.150864,51.360332
Waltham Cross,-0.026564,51.685257
Walthamstow Central,-0.019941,51.583018
Walthamstow Queens Road,-0.023844,51.581546
Wandle Park,-0.113253,51.373401
Wandsworth Common,-0.163537,51.446366
Wandsworth Road,-0.139038,51.470223
